tau,theta,R1,R5,R10,mean_alpha
3.0,0.035,80.63063063063063,86.48648648648648,87.83783783783784,0.6322417855262756
3.0,0.04,81.08108108108108,86.03603603603604,87.83783783783784,0.7139936685562134
3.0,0.045,81.53153153153153,86.48648648648648,87.83783783783784,0.7817844748497009
3.0,0.05,81.08108108108108,86.48648648648648,87.83783783783784,0.8475630283355713
3.0,0.055,81.08108108108108,86.48648648648648,87.83783783783784,0.9014713764190674
3.0,0.06,79.72972972972973,86.48648648648648,87.83783783783784,0.9357309341430664
3.0,0.065,79.72972972972973,86.48648648648648,87.83783783783784,0.9687707424163818
3.0,0.07,79.27927927927928,86.48648648648648,87.83783783783784,0.9790467023849487
3.0,0.075,79.27927927927928,86.48648648648648,87.83783783783784,0.9869559407234192
3.0,0.08,79.27927927927928,86.48648648648648,87.83783783783784,0.9906949400901794
3.0,0.085,79.27927927927928,86.48648648648648,87.83783783783784,0.9951976537704468
3.0,0.09,79.27927927927928,86.48648648648648,87.83783783783784,0.9951976537704468
3.0,0.095,79.27927927927928,86.48648648648648,87.83783783783784,0.996906578540802
3.0,0.1,79.27927927927928,86.48648648648648,87.83783783783784,0.9980760812759399
3.0,0.105,79.27927927927928,86.48648648648648,87.83783783783784,0.9980760812759399
3.0,0.11,79.27927927927928,86.48648648648648,87.83783783783784,0.9980760812759399
3.0,0.115,79.27927927927928,86.48648648648648,87.83783783783784,1.0
3.0,0.12,79.27927927927928,86.48648648648648,87.83783783783784,1.0
4.0,0.0,80.18018018018019,86.48648648648648,87.83783783783784,0.49975675344467163
4.0,0.005,80.18018018018019,86.48648648648648,87.83783783783784,0.49975675344467163
4.0,0.01,80.18018018018019,86.48648648648648,87.83783783783784,0.49975675344467163
4.0,0.015,80.18018018018019,86.48648648648648,87.83783783783784,0.5020760893821716
4.0,0.02,80.18018018018019,86.48648648648648,87.83783783783784,0.506919801235199
4.0,0.025,80.18018018018019,86.48648648648648,87.83783783783784,0.5285264849662781
4.0,0.03,80.63063063063063,86.48648648648648,87.83783783783784,0.5679786205291748
4.0,0.035,81.08108108108108,86.48648648648648,87.83783783783784,0.6314383745193481
4.0,0.04,81.08108108108108,86.03603603603604,87.83783783783784,0.7119074463844299
4.0,0.045,81.53153153153153,86.48648648648648,87.83783783783784,0.7796146273612976
4.0,0.05,81.08108108108108,86.48648648648648,87.83783783783784,0.84527587890625
4.0,0.055,81.08108108108108,86.48648648648648,87.83783783783784,0.8997424840927124
4.0,0.06,79.72972972972973,86.48648648648648,87.83783783783784,0.9338736534118652
4.0,0.065,79.72972972972973,86.48648648648648,87.83783783783784,0.9676433801651001
4.0,0.07,79.27927927927928,86.48648648648648,87.83783783783784,0.9781521558761597
4.0,0.075,79.27927927927928,86.48648648648648,87.83783783783784,0.986322820186615
4.0,0.08,79.27927927927928,86.48648648648648,87.83783783783784,0.9902402758598328
4.0,0.085,79.27927927927928,86.48648648648648,87.83783783783784,0.9947434067726135
4.0,0.09,79.27927927927928,86.48648648648648,87.83783783783784,0.9947434067726135
4.0,0.095,79.27927927927928,86.48648648648648,87.83783783783784,0.9965846538543701
4.0,0.1,79.27927927927928,86.48648648648648,87.83783783783784,0.9979947805404663
4.0,0.105,79.27927927927928,86.48648648648648,87.83783783783784,0.9979947805404663
4.0,0.11,79.27927927927928,86.48648648648648,87.83783783783784,0.9979947805404663
4.0,0.115,79.27927927927928,86.48648648648648,87.83783783783784,1.0
4.0,0.12,79.27927927927928,86.48648648648648,87.83783783783784,1.0
