tau,theta,R1,R5,R10,active_rate,mean_alpha
0.5,0.065,85.13513513513513,91.8918918918919,92.34234234234235,0.0945945945945946,0.9693285822868347
0.5,0.07,85.58558558558559,91.8918918918919,92.34234234234235,0.05855855855855856,0.9795979261398315
0.5,0.075,85.58558558558559,91.8918918918919,92.34234234234235,0.036036036036036036,0.9879078269004822
0.5,0.08,85.58558558558559,91.8918918918919,92.34234234234235,0.02252252252252252,0.9908695816993713
0.5,0.085,85.58558558558559,91.8918918918919,92.34234234234235,0.013513513513513514,0.9953451156616211
0.5,0.09,85.13513513513513,91.8918918918919,92.34234234234235,0.0045045045045045045,0.9996984601020813
0.5,0.095,85.13513513513513,91.8918918918919,92.34234234234235,0.0045045045045045045,0.9996984601020813
0.5,0.1,85.13513513513513,91.8918918918919,92.34234234234235,0.0045045045045045045,0.9996984601020813
0.5,0.105,85.13513513513513,91.8918918918919,92.34234234234235,0.0045045045045045045,0.9996984601020813
0.5,0.11,85.13513513513513,91.8918918918919,92.34234234234235,0.0045045045045045045,0.9996984601020813
0.5,0.115,85.13513513513513,91.8918918918919,92.34234234234235,0.0,1.0
0.5,0.12,85.13513513513513,91.8918918918919,92.34234234234235,0.0,1.0
0.75,0.0,81.98198198198197,90.09009009009009,92.34234234234235,1.0,0.49120551347732544
0.75,0.005,81.98198198198197,90.09009009009009,92.34234234234235,1.0,0.49120551347732544
0.75,0.01,81.98198198198197,90.09009009009009,92.34234234234235,1.0,0.49120551347732544
0.75,0.015,81.98198198198197,90.09009009009009,92.34234234234235,0.9954954954954955,0.4936954975128174
0.75,0.02,81.98198198198197,90.09009009009009,92.34234234234235,0.963963963963964,0.5142242312431335
0.75,0.025,82.43243243243244,90.09009009009009,92.34234234234235,0.8783783783783784,0.5649089813232422
0.75,0.03,82.43243243243244,90.54054054054053,92.34234234234235,0.7837837837837838,0.6112233996391296
0.75,0.035,83.33333333333334,90.990990990991,92.34234234234235,0.6441441441441441,0.6881380677223206
0.75,0.04,84.68468468468468,90.990990990991,92.34234234234235,0.5180180180180181,0.7659242749214172
0.75,0.045,84.23423423423422,90.990990990991,92.34234234234235,0.3963963963963964,0.8298037648200989
0.75,0.05,84.23423423423422,90.990990990991,92.34234234234235,0.27927927927927926,0.886322021484375
0.75,0.055,85.13513513513513,91.8918918918919,92.34234234234235,0.1891891891891892,0.9296672940254211
0.75,0.06,85.13513513513513,91.8918918918919,92.34234234234235,0.13513513513513514,0.9532850384712219
0.75,0.065,85.13513513513513,91.8918918918919,92.34234234234235,0.0945945945945946,0.9662873148918152
0.75,0.07,85.58558558558559,91.8918918918919,92.34234234234235,0.05855855855855856,0.9777880311012268
0.75,0.075,85.58558558558559,91.8918918918919,92.34234234234235,0.036036036036036036,0.9866510629653931
0.75,0.08,85.58558558558559,91.8918918918919,92.34234234234235,0.02252252252252252,0.9904636740684509
0.75,0.085,85.58558558558559,91.8918918918919,92.34234234234235,0.013513513513513514,0.9949415326118469
0.75,0.09,85.13513513513513,91.8918918918919,92.34234234234235,0.0045045045045045045,0.9993367791175842
0.75,0.095,85.13513513513513,91.8918918918919,92.34234234234235,0.0045045045045045045,0.9993367791175842
