backbone,dataset,alpha,R1,R5,R10
EigenPlaces,msls,0.08,76.44787644787645,91.11969111969111,93.05019305019306
EigenPlaces,msls,0.09,77.41312741312741,91.11969111969111,93.05019305019306
EigenPlaces,msls,0.1,78.18532818532819,91.31274131274131,93.05019305019306
EigenPlaces,msls,0.11,78.57142857142857,91.31274131274131,93.05019305019306
EigenPlaces,msls,0.12,78.76447876447877,91.31274131274131,93.05019305019306
EigenPlaces,msls,0.13,78.95752895752895,91.5057915057915,93.05019305019306
EigenPlaces,msls,0.14,79.53667953667953,91.5057915057915,93.05019305019306
EigenPlaces,msls,0.15,80.11583011583011,91.31274131274131,93.05019305019306
EigenPlaces,msls,0.16,80.3088803088803,91.6988416988417,93.05019305019306
EigenPlaces,msls,0.17,80.8880308880309,91.6988416988417,93.05019305019306
EigenPlaces,msls,0.18,80.8880308880309,91.5057915057915,93.05019305019306
EigenPlaces,msls,0.19,80.8880308880309,91.5057915057915,93.05019305019306
EigenPlaces,msls,0.2,81.46718146718148,91.5057915057915,93.05019305019306
EigenPlaces,msls,0.21,81.46718146718148,91.5057915057915,93.05019305019306
EigenPlaces,msls,0.22,81.66023166023166,91.5057915057915,93.05019305019306
EigenPlaces,msls,0.23,82.23938223938224,91.5057915057915,93.05019305019306
EigenPlaces,msls,0.24,82.23938223938224,91.5057915057915,93.05019305019306
EigenPlaces,msls,0.25,82.23938223938224,91.5057915057915,93.05019305019306
EigenPlaces,msls,0.26,82.81853281853282,91.5057915057915,93.05019305019306
EigenPlaces,msls,0.27,83.01158301158301,91.5057915057915,93.05019305019306
EigenPlaces,msls,0.28,83.59073359073359,91.5057915057915,93.05019305019306
EigenPlaces,msls,0.29,83.59073359073359,91.5057915057915,93.05019305019306
EigenPlaces,msls,0.3,83.97683397683397,91.5057915057915,93.05019305019306
EigenPlaces,msls,0.31,84.16988416988417,91.5057915057915,93.05019305019306
EigenPlaces,msls,0.32,84.36293436293437,91.6988416988417,93.05019305019306
EigenPlaces,msls,0.33,84.36293436293437,91.6988416988417,93.05019305019306
EigenPlaces,msls,0.34,84.55598455598455,91.6988416988417,93.05019305019306
EigenPlaces,msls,0.35,84.55598455598455,91.6988416988417,93.05019305019306
EigenPlaces,msls,0.36,84.94208494208493,91.6988416988417,93.05019305019306
EigenPlaces,msls,0.37,85.13513513513513,91.6988416988417,93.05019305019306
EigenPlaces,msls,0.38,85.13513513513513,91.6988416988417,93.05019305019306
EigenPlaces,msls,0.39,85.13513513513513,91.6988416988417,93.05019305019306
EigenPlaces,msls,0.4,85.13513513513513,91.6988416988417,93.05019305019306
EigenPlaces,msls,0.41,85.13513513513513,91.6988416988417,93.05019305019306
EigenPlaces,msls,0.42,85.13513513513513,91.6988416988417,93.05019305019306
EigenPlaces,msls,0.43,85.13513513513513,91.6988416988417,93.05019305019306
EigenPlaces,msls,0.44,84.94208494208493,91.6988416988417,93.05019305019306
EigenPlaces,msls,0.45,85.13513513513513,91.5057915057915,93.05019305019306
EigenPlaces,msls,0.46,85.32818532818533,91.5057915057915,93.05019305019306
EigenPlaces,msls,0.47,85.52123552123551,91.5057915057915,93.05019305019306
EigenPlaces,msls,0.48,85.52123552123551,91.5057915057915,93.05019305019306
EigenPlaces,msls,0.49,85.32818532818533,91.5057915057915,93.05019305019306
EigenPlaces,msls,0.5,85.52123552123551,91.5057915057915,93.05019305019306
EigenPlaces,msls,0.51,85.52123552123551,91.5057915057915,93.05019305019306
EigenPlaces,msls,0.52,85.13513513513513,91.5057915057915,93.05019305019306
EigenPlaces,msls,0.53,85.13513513513513,91.5057915057915,93.05019305019306
EigenPlaces,msls,0.54,85.32818532818533,91.5057915057915,93.05019305019306
EigenPlaces,msls,0.55,85.52123552123551,91.5057915057915,93.05019305019306
EigenPlaces,msls,0.56,85.32818532818533,91.31274131274131,93.05019305019306
EigenPlaces,msls,0.57,85.52123552123551,91.31274131274131,93.05019305019306
EigenPlaces,msls,0.58,85.71428571428571,91.31274131274131,93.05019305019306
EigenPlaces,msls,0.59,85.52123552123551,91.31274131274131,93.05019305019306
EigenPlaces,msls,0.6,85.32818532818533,91.31274131274131,93.05019305019306
EigenPlaces,msls,0.61,85.52123552123551,91.31274131274131,93.05019305019306
EigenPlaces,msls,0.62,85.52123552123551,91.5057915057915,93.05019305019306
EigenPlaces,msls,0.63,85.71428571428571,91.5057915057915,93.05019305019306
EigenPlaces,msls,0.64,85.71428571428571,91.5057915057915,93.05019305019306
EigenPlaces,msls,0.65,85.71428571428571,91.5057915057915,93.05019305019306
EigenPlaces,msls,0.66,85.9073359073359,91.5057915057915,93.05019305019306
EigenPlaces,msls,0.67,85.9073359073359,91.5057915057915,93.05019305019306
EigenPlaces,msls,0.68,85.9073359073359,91.31274131274131,93.05019305019306
EigenPlaces,msls,0.69,86.10038610038609,91.31274131274131,93.05019305019306
EigenPlaces,msls,0.7,86.10038610038609,91.31274131274131,93.05019305019306
EigenPlaces,msls,0.71,86.10038610038609,91.31274131274131,93.05019305019306
EigenPlaces,msls,0.72,86.10038610038609,91.31274131274131,93.05019305019306
EigenPlaces,msls,0.73,85.71428571428571,91.11969111969111,93.05019305019306
EigenPlaces,msls,0.74,85.71428571428571,91.11969111969111,93.05019305019306
EigenPlaces,msls,0.75,85.71428571428571,91.11969111969111,93.05019305019306
EigenPlaces,msls,0.76,85.52123552123551,91.11969111969111,93.05019305019306
EigenPlaces,msls,0.77,85.13513513513513,91.11969111969111,93.05019305019306
EigenPlaces,msls,0.78,84.74903474903475,91.11969111969111,93.05019305019306
EigenPlaces,msls,0.79,84.74903474903475,91.11969111969111,93.05019305019306
EigenPlaces,msls,0.8,84.94208494208493,91.11969111969111,93.05019305019306
EigenPlaces,msls,0.81,84.94208494208493,90.92664092664093,93.05019305019306
EigenPlaces,msls,0.82,84.94208494208493,90.54054054054053,93.05019305019306
EigenPlaces,msls,0.83,84.94208494208493,90.54054054054053,93.05019305019306
EigenPlaces,msls,0.84,84.94208494208493,90.54054054054053,93.05019305019306
EigenPlaces,msls,0.85,84.94208494208493,90.34749034749035,93.05019305019306
EigenPlaces,msls,0.86,84.94208494208493,90.34749034749035,93.05019305019306
EigenPlaces,msls,0.87,84.74903474903475,90.34749034749035,93.05019305019306
EigenPlaces,msls,0.88,84.55598455598455,90.34749034749035,93.05019305019306
EigenPlaces,msls,0.89,84.74903474903475,90.34749034749035,93.05019305019306
EigenPlaces,msls,0.9,84.74903474903475,90.34749034749035,93.05019305019306
EigenPlaces,msls,0.91,84.55598455598455,90.34749034749035,93.05019305019306
EigenPlaces,msls,0.92,84.36293436293437,90.54054054054053,93.05019305019306
EigenPlaces,msls,0.93,84.36293436293437,90.54054054054053,93.05019305019306
EigenPlaces,msls,0.94,84.36293436293437,90.54054054054053,93.05019305019306
EigenPlaces,msls,0.95,84.55598455598455,90.54054054054053,93.05019305019306
EigenPlaces,msls,0.96,84.55598455598455,90.54054054054053,93.05019305019306
EigenPlaces,msls,0.97,84.55598455598455,90.54054054054053,93.05019305019306
EigenPlaces,msls,0.98,84.55598455598455,90.54054054054053,93.05019305019306
EigenPlaces,msls,0.99,84.74903474903475,90.54054054054053,93.05019305019306
EigenPlaces,msls,1.0,84.74903474903475,90.54054054054053,93.05019305019306
EigenPlaces,nordland,0.0,36.5,76.75,87.75
EigenPlaces,nordland,0.01,37.25,76.5,87.75
EigenPlaces,nordland,0.02,37.25,76.5,87.75
EigenPlaces,nordland,0.03,37.75,76.75,87.75
EigenPlaces,nordland,0.04,37.75,76.75,87.75
EigenPlaces,nordland,0.05,37.75,76.75,87.75
EigenPlaces,nordland,0.06,37.75,76.75,87.75
EigenPlaces,nordland,0.07,37.75,76.75,87.75
EigenPlaces,nordland,0.08,37.75,76.75,87.75
EigenPlaces,nordland,0.09,37.75,76.75,87.75
EigenPlaces,nordland,0.1,38.25,76.75,87.75
EigenPlaces,nordland,0.11,38.25,76.75,87.75
EigenPlaces,nordland,0.12,38.25,76.75,87.75
EigenPlaces,nordland,0.13,38.0,77.0,87.75
EigenPlaces,nordland,0.14,38.5,77.0,87.75
EigenPlaces,nordland,0.15,38.75,76.75,87.75
EigenPlaces,nordland,0.16,39.0,76.75,87.75
EigenPlaces,nordland,0.17,39.25,77.0,87.75
EigenPlaces,nordland,0.18,39.5,77.0,87.75
EigenPlaces,nordland,0.19,39.75,77.25,87.75
EigenPlaces,nordland,0.2,40.25,77.25,87.75
EigenPlaces,nordland,0.21,40.5,77.25,87.75
EigenPlaces,nordland,0.22,41.25,77.25,87.75
EigenPlaces,nordland,0.23,41.25,77.5,87.75
EigenPlaces,nordland,0.24,41.0,77.5,87.75
EigenPlaces,nordland,0.25,40.75,77.5,87.75
EigenPlaces,nordland,0.26,41.75,77.5,87.75
EigenPlaces,nordland,0.27,42.0,77.5,87.75
EigenPlaces,nordland,0.28,42.25,77.75,87.75
EigenPlaces,nordland,0.29,42.0,77.75,87.75
EigenPlaces,nordland,0.3,43.0,77.75,87.75
EigenPlaces,nordland,0.31,43.75,77.75,87.75
EigenPlaces,nordland,0.32,44.25,77.75,87.75
EigenPlaces,nordland,0.33,44.5,77.5,87.75
EigenPlaces,nordland,0.34,44.0,77.75,87.75
EigenPlaces,nordland,0.35,44.0,78.0,87.75
EigenPlaces,nordland,0.36,44.25,77.75,87.75
EigenPlaces,nordland,0.37,45.0,77.75,87.75
EigenPlaces,nordland,0.38,45.0,78.0,87.75
EigenPlaces,nordland,0.39,46.0,77.75,87.75
EigenPlaces,nordland,0.4,46.25,77.75,87.75
EigenPlaces,nordland,0.41,47.0,77.75,87.75
EigenPlaces,nordland,0.42,47.0,77.75,87.75
EigenPlaces,nordland,0.43,47.0,77.75,87.75
EigenPlaces,nordland,0.44,47.25,77.75,87.75
EigenPlaces,nordland,0.45,47.5,78.0,87.75
EigenPlaces,nordland,0.46,47.0,78.5,87.75
EigenPlaces,nordland,0.47,47.5,78.5,87.75
EigenPlaces,nordland,0.48,47.25,78.5,87.75
EigenPlaces,nordland,0.49,47.5,78.5,87.75
EigenPlaces,nordland,0.5,47.5,78.5,87.75
EigenPlaces,nordland,0.51,47.5,78.5,87.75
EigenPlaces,nordland,0.52,48.0,78.5,87.75
EigenPlaces,nordland,0.53,48.0,78.5,87.75
EigenPlaces,nordland,0.54,48.5,78.25,87.75
EigenPlaces,nordland,0.55,49.0,78.25,87.75
